country,year,life_expectancy,forest_pct,urban_pct
Germany,2023,81.0414634146342,32.6789342643734,81.9034366692129
Ghana,2023,65.498,35.1921958573042,57.8074737774654
Gibraltar,2023,83.553,0,100
Greece,2023,81.7365853658537,30.2699767261443,78.7746303842088
Greenland,2023,70.9724390243902,5.35997076379583e-4,88.0631147749908
Grenada,2023,75.205,52.0588235294118,36.462128238584
Guam,2023,77.209,51.8518518518518,94.1349341638921
Guatemala,2023,72.602,32.5961179544606,55.6082319565539
Guinea,2023,60.74,24.6988442129253,37.6454083954705
Guinea-Bissau,2023,64.085,69.5124466571835,45.5923843383789
Guyana,2023,70.18,87.0878369802027,26.4651457279878
Haiti,2023,64.936,12.2630624092888,54.4496819335618
Heavily indebted poor countries (HIPC),2023,64.7159155608789,NA,37.3896717239115
High income,2023,80.1496259588259,NA,80.0174997946605
Honduras,2023,72.884,56.2732147645008,58.3132392705102
"Hong Kong SAR, China",2023,85.2473170731707,NA,100
Hungary,2023,76.5707317073171,22.4484341442034,70.2923026891431
IBRD only,2023,74.5179789642607,NA,58.0307470483158
Iceland,2023,82.4560975609756,0.528744421303184,94.1518261784801
IDA & IBRD total,2023,71.9985367096848,NA,53.0808012257073
IDA blend,2023,62.4621643327349,NA,48.1773673159897
IDA only,2023,67.0538393822484,NA,35.9657912741954
IDA total,2023,65.4535271943526,NA,40.2218272005988
India,2023,72.003,24.5390304689576,35.0676918424186
Indonesia,2023,71.146,47.7220336902463,58.1179353397878
"Iran, Islamic Rep.",2023,77.654,6.64923611710324,76.6759567260742
Iraq,2023,72.324,1.90035242899592,69.868278503418
Ireland,2023,82.8073170731707,11.5259108724053,64.1152082461268
Isle of Man,2023,80.999,6.07017543859649,52.1832571730182
Israel,2023,83.1951219512195,6.46950092421442,91.5089569794505
Italy,2023,83.3512195121951,32.8944947923712,69.5381540123301
Jamaica,2023,71.479,56.190757156048,58.4510149367429
Japan,2023,84.0412195121951,68.3957811364628,92.0826903891473
Jordan,2023,77.814,1.09804716534901,92.682236868336
Kazakhstan,2023,74.402,1.31214516427751,61.7560919499181
Kenya,2023,63.646,6.21662477880402,31.6330340816429
Kiribati,2023,66.473,1.45679012345679,61.5244676194408
"Korea, Dem. People's Rep.",2023,73.642,49.5507017689561,63.5382165423021
"Korea, Rep.",2023,83.4292682926829,64.108606557377,81.1645551720421
Kosovo,2023,78.033,NA,49.1105579101515
Kuwait,2023,83.1878048780488,0.350729517396184,100
Kyrgyz Republic,2023,72.2487804878049,7.14337851929093,34.706439175362
Lao PDR,2023,68.964,71.4558058925477,38.8070088517156
Late-demographic dividend,2023,77.1240563291033,NA,66.9097067880547
Latin America & Caribbean,2023,75.6435273174016,NA,81.0435031476023
Latin America & Caribbean (excluding high income),2023,75.4986013301867,NA,80.5262275066979
Latin America & the Caribbean (IDA & IBRD countries),2023,75.5699258379688,NA,81.0398075940594
Latvia,2023,75.4268292682927,54.9959826450265,68.358631634306093
Least developed countries: UN classification,2023,66.5161082750607,NA,35.6959352473229
Lebanon,2023,77.817,14.1867057673509,90.4524074197598
Lesotho,2023,57.375,1.13702239789196,42.6781596804785
Liberia,2023,62.163,78.1422342192691,54.997863482224
Libya,2023,69.339,0.123327687918433,87.8647197919848
Liechtenstein,2023,84.5951219512195,41.875,14.6783761234077
Lithuania,2023,77.290243902439,35.2301501597444,68.575454583199
Low & middle income,2023,71.9735329954044,NA,52.9287910725292
Low income,2023,64.5179111025439,NA,36.8047741771747
Lower middle income,2023,69.5963746571515,NA,41.2145785460972
Luxembourg,2023,83.309756097561,34.4538272103664,94.8015300320787
"Macao SAR, China",2023,83.1804878048781,NA,100
Madagascar,2023,63.632,21.2962600550017,31.9799438860946
Malawi,2023,67.353,22.4406024607552,16.9748746665356
Malaysia,2023,76.657,57.7190381981434,76.4434752105739
Maldives,2023,81.041,2.75167785234899,41.5096832933973
Mali,2023,60.439,10.896663634352,31.0031889023235
Malta,2023,83.3560975609756,1.4375,95.6272277147965
Marshall Islands,2023,66.945,52.2222222222222,78.3593928884282
Mauritania,2023,68.484,0.287611138061512,59.7142464747058
Mauritius,2023,73.4121951219512,19.4742113169755,39.0039901092226
Mexico,2023,75.069,33.5959176419147,79.4734935748046
"Micronesia, Fed. Sts.",2023,67.198,92.1571428571429,22.4334012451903
"Middle East, North Africa, Afghanistan & Pakistan",2023,72.0838364704563,NA,55.4304551226559
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2023,71.2758849884582,NA,52.4233912654293
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2023,71.3194560888195,NA,52.1776709218643
Middle income,2023,72.7427166791526,NA,54.5922781552452
Moldova,2023,71.198,11.7370179167932,43.0011825561523
Monaco,2023,86.372,0,100
Mongolia,2023,72.1224390243902,9.09172405879304,70.4464492797852
Montenegro,2023,77.5878048780488,61.4869888475836,65.4731667624849
Morocco,2023,75.313,12.9371068787811,62.673750838878
Mozambique,2023,63.611,45.8130349195046,35.7149783148407
Myanmar,2023,66.889,42.4023779245254,30.3820718069466
Namibia,2023,67.385,7.80511120018463,49.9545837830821
Nauru,2023,62.109,0,100
Nepal,2023,70.354,41.5907220090687,66.5432933453944
Netherlands,2023,81.8634146341464,11.0574428274428,95.3221682092129
New Caledonia,2023,78.766,45.8271334792123,67.751522311337
New Zealand,2023,81.7585365853659,37.7892841137822,83.8898991461229
Nicaragua,2023,74.947,25.8229183978727,59.1250953674316
Niger,2023,61.183,0.822957290597616,17.7506873295237
Nigeria,2023,54.462,23.2078900271199,62.1746763155343
North America,2023,78.7306687358934,NA,80.3358741691711
North Macedonia,2023,75.3160975609756,39.7101506740682,62.2518322545779
Northern Mariana Islands,2023,78.808,52.9565217391304,91.9754112887573
Norway,2023,83.0121951219512,33.5009745518434,83.0718560702166
OECD members,2023,80.1629177851037,NA,81.0542645072705
Oman,2023,80.031,0.00762261712439418,79.5702973228932
Other small states,2023,73.5849815358082,NA,54.7413384725346
Pacific island small states,2023,69.2745949035856,NA,40.2526358335376
Pakistan,2023,67.649,4.67242631797426,38.8191861872791
Palau,2023,69.269,90.5434782608696,79.1531991438847
Panama,2023,79.594,56.3439727689404,65.8601271176084
Papua New Guinea,2023,66.134,78.9541359360509,15.0581017891206
Paraguay,2023,73.844,38.5449252640128,69.3466081733694
Peru,2023,77.74,56.103020234375,84.7810255849745
Philippines,2023,69.833,24.4600731126539,55.1242716168851
Poland,2023,78.2585365853659,31.0804192379273,59.8859561370214
Portugal,2023,82.3292682926829,36.154994891142,61.2048652633664
Post-demographic dividend,2023,80.8341681111503,NA,81.0611183167151
Pre-demographic dividend,2023,62.163638519596,NA,44.9432746652763
Puerto Rico (US),2023,81.69,56.1217587373168,94.1774359275881
Qatar,2023,82.368,0,99.2835325193835
Romania,2023,76.4048780487805,30.1158292767733,52.1645747011867
Russian Federation,2023,73.2546341463415,49.7843605035639,74.9805047873279
